,Country Code,Country Name,2019,2019 AID,Per Capita
236,TMN,Middle East & North Africa (IDA & IBRD countries),384771780,,$0.00
237,TON,Tonga,104494,-33535,-$0.32
238,TSA,South Asia (IDA & IBRD),1835776742,,$0.00
239,TSS,Sub-Saharan Africa (IDA & IBRD countries),1106957898,,$0.00
240,TTO,Trinidad and Tobago,1394973,,$0.00
241,TUN,Tunisia,11694719,93787309,$8.02
242,TUR,Turkey,83429615,3827964,$0.05
243,TUV,Tuvalu,11646,,$0.00
244,TZA,Tanzania,58005463,594488462,$10.25
245,UGA,Uganda,44269594,589995431,$13.33
246,UKR,Ukraine,44385155,184166193,$4.15
247,UMC,Upper middle income,2855862789,,$0.00
248,URY,Uruguay,3461734,,$0.00
249,USA,United States,328239523,,$0.00
250,UZB,Uzbekistan,33580650,19870464,$0.59
251,VCT,St. Vincent and the Grenadines,110589,,$0.00
252,VEN,"Venezuela, RB",28515829,22218244,$0.78
253,VGB,British Virgin Islands,30030,,$0.00
254,VIR,Virgin Islands (U.S.),106631,,$0.00
255,VNM,Vietnam,96462106,143249161,$1.49
256,VUT,Vanuatu,299882,209845,$0.70
257,WLD,World,7673533972,,$0.00
258,WSM,Samoa,197097,,$0.00
259,XKX,Kosovo,1794248,,$0.00
260,YEM,"Yemen, Rep.",29161922,141868903,$4.86
261,ZAF,South Africa,58558270,208630779,$3.56
262,ZMB,Zambia,17861030,405616253,$22.71
263,ZWE,Zimbabwe,14645468,206834109,$14.12
